booking_code,customer_id,ticket_source_name,created_date,trip_date,from_to,comp_id,bus_rating,vehicle_type,seat_type,quantity,total_fare,customer_type
ZZ79Y,//XTrwPRPs2v7NlVb4sQ, Android,7/11/2020,7/12/2020,Hồ Chí Minh - Vĩnh Long,SEdmxcaTjEz8RRJpPM13Dwn+U/G9IxtHIfDULi6fxBI,4.1,normal,Sleeper,1,96000,New Customer
9I4Y4,/+K/lksxmcWdGKLQ26dA, iOS,7/16/2020,7/16/2020,Hồ Chí Minh - Bình Thuận,0CjrvlFTB0WtkbXzbICEsrAqoexAcrY5otb44hQzxGg,4.8,normal,Sleeper,1,168000,Old Customer
FP285,/0i6xIqlQskQASEuAuCA, Android,7/25/2020,7/28/2020,Nghệ An - Hà Nội,G29Krp2D4RNoD3mBRPI76T1M+EN4CaHcAVNRxWXFSfA,4.4,limousine,Sleeper,1,240000,New Customer
9R3T7,/0M08y4bMNKAX1y20JTg, iOS,7/4/2020,7/5/2020,Lâm Đồng - Hồ Chí Minh,jNPO7+b/j9cYdfMaiHsSIeBAQVmZnNw1i865WHHVkZI,4,normal,Sleeper,2,400000,Old Customer
74AIU,/14OguZKy9lO6psNpiAw, Android,8/19/2020,8/20/2020,Hồ Chí Minh - Ninh Thuận,ZX/uWhvaphDQluCb+boYgAgnU3wOaCIinCarURzrCXc,4.6,limousine,Sleeper,2,840000,Old Customer
0F013,/14OguZKy9lO6psNpiAw, Android,7/1/2020,7/2/2020,Hồ Chí Minh - Ninh Thuận,ZX/uWhvaphDQluCb+boYgAgnU3wOaCIinCarURzrCXc,4.6,limousine,Sleeper,2,720000,New Customer
72UP7,/183ykwv73FlYguZ7M9Q, iOS,7/28/2020,7/28/2020,Kiên Giang - Hồ Chí Minh,OJR6c4Dznvo3s55VV29CkKBAXxDyv3ZGzkkZU+2AQHM,4.9,limousine,Sleeper,1,224000,New Customer
9KLU0,/1LeBHstpoAgVzsr0/oA, iOS,7/15/2020,7/19/2020,Hồ Chí Minh - Kiên Giang,OJR6c4Dznvo3s55VV29CkKBAXxDyv3ZGzkkZU+2AQHM,4.9,limousine,Sleeper,3,1008000,New Customer
684OM,/21JDU5c20F/4JyGb2Cg, Android,7/5/2020,7/6/2020,Quảng Ninh - Hà Nội,VVg96MEsk5RjGkMQ8a2fAaNoScVV+iSAj5irdP5GKaE,4,limousine,Seater,1,300000,New Customer
E6YER,/2gEyq2je1sflJ3Gh0MQ, Android,7/12/2020,7/31/2020,Hồ Chí Minh - Khánh Hòa,P57UqyeJhRKYqWo206C6ygntgl5aZGmHzcRiRYUjEYs,4.4,normal,Sleeper,4,640000,New Customer
415EH,/4JpVeQtvLW3URt1K1Dw, iOS,7/29/2020,7/31/2020,Hà Nội - Sơn La,Jhp2zCWA8Xj1rpmUt+TatVltDQDDYrpy4h+5QeuuZSQ,4.8,limousine,Seater,1,264000,Old Customer
3R1ZT,/4RP3YippZaQyRTD5pGA, Android,7/23/2020,8/2/2020,Lâm Đồng - Bình Dương,jNPO7+b/j9cYdfMaiHsSIeBAQVmZnNw1i865WHHVkZI,4,normal,Sleeper,2,288000,Old Customer
4905Q,/4RP3YippZaQyRTD5pGA, Android,7/22/2020,7/30/2020,Bình Dương - Lâm Đồng,jNPO7+b/j9cYdfMaiHsSIeBAQVmZnNw1i865WHHVkZI,4,normal,Sleeper,2,600000,Old Customer
Q310V,/7nR/GN7xtwn0ijC03pQ, iOS,7/11/2020,7/11/2020,Hải Phòng - Hà Nội,HzeMkrKlOA3bIoNa4t7zcouqsc9WDAziKuANbin0Joc,4.6,limousine,Seater,1,80000,Old Customer
XQV61,/7nR/GN7xtwn0ijC03pQ, iOS,7/6/2020,7/7/2020,Hải Phòng - Hà Nội,HzeMkrKlOA3bIoNa4t7zcouqsc9WDAziKuANbin0Joc,4.6,limousine,Seater,1,120000,Old Customer
424IX,/9lmtNgSmV2ubwWNPpyw, Android,8/1/2020,8/2/2020,Hồ Chí Minh - Bình Phước,0fUMYWSegECRjZ2/NtLXFoBBkGiLwxVrXxGWUu04si8,2.9,limousine,Seater,1,112000,Old Customer
638E4,/9lmtNgSmV2ubwWNPpyw, Android,8/1/2020,8/2/2020,Hồ Chí Minh - Bình Phước,0fUMYWSegECRjZ2/NtLXFoBBkGiLwxVrXxGWUu04si8,2.9,limousine,Seater,1,112000,Old Customer
DK20I,/9lmtNgSmV2ubwWNPpyw, Android,8/1/2020,8/2/2020,Hồ Chí Minh - Bình Phước,0fUMYWSegECRjZ2/NtLXFoBBkGiLwxVrXxGWUu04si8,2.9,limousine,Seater,1,168000,Old Customer
63YT8,/9nA3jQcQi2pv/kj8opQ, Android,7/4/2020,7/5/2020,Gia Lai - Hồ Chí Minh,ZiTLngAVo6WH+qLfInsIT+8nEv+UJeSGNHSO1PYzMkU,4,normal,Sleeper,1,300000,Old Customer
ZJ2R9,/A2NJHfusKpS3QMvCZWA, iOS,7/9/2020,8/2/2020,Khánh Hòa - Hồ Chí Minh,ZX/uWhvaphDQluCb+boYgAgnU3wOaCIinCarURzrCXc,4.6,limousine,Sleeper,3,1080000,Old Customer
BIZ5Y,/A2NJHfusKpS3QMvCZWA, iOS,7/8/2020,7/30/2020,Hồ Chí Minh - Khánh Hòa,8vV+zp4z7QG/vEnNk7tOynx604GjCvjWymEWFCSCV3c,4.1,normal,Sleeper,3,696000,Old Customer
561ZJ,/Be9nyfsz9WJXPxvl/Lw, Android,8/10/2020,8/13/2020,Hồ Chí Minh - Kon Tum,1yrxZr9qd18IDxIuoozn08ChmD47SiEC6LLIvGHUW3E,4.3,normal,Sleeper,1,200000,New Customer
V37P8,/CI8VAPHCDK5OMMiWipA, iOS,8/21/2020,8/22/2020,Ninh Thuận - Hồ Chí Minh,9SeGoClJ1vAQu3SjV2GhVxGmYTRnI3J6UMsE2MauVIU,4.5,normal,Sleeper,1,360000,Old Customer
3I291,/CI8VAPHCDK5OMMiWipA, iOS,7/26/2020,7/29/2020,Ninh Thuận - Hồ Chí Minh,9SeGoClJ1vAQu3SjV2GhVxGmYTRnI3J6UMsE2MauVIU,4.5,normal,Sleeper,1,240000,Old Customer
VG1OK,/CI8VAPHCDK5OMMiWipA, iOS,7/24/2020,7/26/2020,Hồ Chí Minh - Ninh Thuận,9SeGoClJ1vAQu3SjV2GhVxGmYTRnI3J6UMsE2MauVIU,4.5,normal,Sleeper,1,240000,Old Customer
774JF,/cqcIjpx2AboBarfeJqQ, Android,7/11/2020,7/12/2020,Hồ Chí Minh - Bình Dương,0fUMYWSegECRjZ2/NtLXFoBBkGiLwxVrXxGWUu04si8,2.9,limousine,Seater,1,120000,New Customer
